customerid,actual_churn,predicted_churn,churn_probability,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,cltv,risk_segment,expected_monthly_revenue_at_risk,expected_annual_revenue_at_risk,retention_priority_score,priority_group
4376-KFVRS,0,0,0.04713193,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,4842,Low Risk,5.375396564789116,64.50475877746939,228.21280286461115,Medium Priority
2754-SDJRD,0,1,0.72329223,Female,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,5157,High Risk,72.4377169907093,869.2526038885117,3730.0180381536484,Critical Priority
9917-KWRBE,0,0,0.11298176,Female,No,Yes,No,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,2894,Low Risk,8.852120818570256,106.22544982284307,326.96921057999134,Medium Priority
0365-GXEZS,0,0,0.4357356,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,2831,Low Risk,34.07452494502068,408.89429934024815,1233.5675207078457,High Priority
9385-NXKDA,0,0,0.03445187,Female,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,4324,Low Risk,2.847446922026575,34.1693630643189,148.96987889707088,Low Priority
4686-UXDML,0,1,0.60742253,Female,No,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,2113,Medium Risk,60.65113968551159,727.813676226139,1283.4838072657585,High Priority
2227-JRSJX,0,1,0.47821182,Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,5324,Medium Risk,47.41470196545124,568.976423585415,2545.999730348587,Critical Priority
4830-FAXFM,0,0,0.06593828,Male,No,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,2378,Low Risk,1.589112524688244,19.06935029625893,156.80122753977776,Low Priority
1830-IPXVJ,0,0,0.0035556785,Female,No,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,6108,Low Risk,0.07022465096088126,0.8426958115305752,21.71808445919305,Low Priority
4690-LLKUA,1,0,0.33970326,Male,Yes,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,3797,Low Risk,15.30363194644451,183.6435833573341,1289.853285253048,High Priority
5804-HYIEZ,0,0,0.110115,Male,No,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,4583,Low Risk,11.677695656195283,140.1323478743434,504.6570409461856,Medium Priority
2388-LAESQ,0,0,0.043836795,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,4796,Low Risk,5.034655882045627,60.41587058454752,210.24126783013344,Medium Priority
5533-RJFTJ,0,0,0.22753702,Male,No,No,No,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,5214,Low Risk,6.871618035435676,82.45941642522811,1186.3780277073383,High Priority
4706-AXVKM,1,1,0.6250432,Female,Yes,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,5118,Medium Risk,53.00366449356079,636.0439739227295,3198.9711660146713,Critical Priority
0997-YTLNY,0,0,0.057229467,Female,No,No,Yes,19,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.8,953.65,3749,Low Risk,2.792797976732254,33.513575720787045,214.55327079445124,Medium Priority
7971-HLVXI,0,0,0.0064784167,Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,6202,Low Risk,0.5474262139759958,6.569114567711949,40.17914058081806,Low Priority
7337-CINUD,0,0,0.011769359,Female,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,159.35,5206,Low Risk,0.22950250050053,2.75403000600636,61.2712829541415,Low Priority
1379-FRVEB,0,0,0.26291588,Male,No,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.0,1430.05,4602,Low Risk,23.92534503340721,287.10414040088654,1209.9388774037361,High Priority
4753-PADAS,0,0,0.272442,Female,No,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,6816.95,5027,Low Risk,28.7971207767725,345.56544932126997,1369.5659994781017,High Priority
5701-GUXDC,0,0,0.09084369,Female,No,Yes,No,26,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),35.4,978.6,2519,Low Risk,3.215866711735725,38.5904005408287,228.83526121079922,Medium Priority
7235-NXZCP,1,1,0.69434804,Male,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,5378,Medium Risk,51.97195058763027,623.6634070515632,3734.203744292259,Critical Priority
0668-OGMHD,0,0,0.31443727,Female,No,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,3766,Low Risk,8.961462199687958,107.5375463962555,1184.1707594394684,High Priority
2812-REYAT,0,0,0.0479513,Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,5579,Low Risk,0.9614235589280725,11.53708270713687,267.52030101045966,Medium Priority
8779-YIQQA,0,0,0.016325135,Male,No,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,3243,Low Risk,0.32323766872286797,3.8788520246744156,52.94241210445762,Low Priority
